district_code,district,year,built_up_area_sq_m,built_up_area_sq_km
70168,Anuppur,2015,20455660.286274508,20.455660286274508
70168,Anuppur,2020,23731529.34901961,23.73152934901961
70168,Anuppur,2025,27139941.7254902,27.1399417254902
70169,Ashoknagar,2015,22193580.43137255,22.19358043137255
70169,Ashoknagar,2020,25983542.39215686,25.983542392156863
70169,Ashoknagar,2025,29141986.498039216,29.141986498039216
17712,Balaghat,2015,53231030.65490195,53.23103065490195
17712,Balaghat,2020,60374715.43921568,60.37471543921568
17712,Balaghat,2025,67722322.68627448,67.72232268627448
70170,Barwani,2015,28211905.125490203,28.211905125490205
70170,Barwani,2020,43420652.015686266,43.420652015686265
70170,Barwani,2025,51943212.156862736,51.943212156862735
17714,Betul,2015,41951630.18823528,41.951630188235285
17714,Betul,2020,48515787.77647058,48.51578777647058
17714,Betul,2025,53957191.19607843,53.957191196078426
17715,Bhind,2015,32844535.42745098,32.84453542745098
17715,Bhind,2020,44605339.92156863,44.60533992156864
17715,Bhind,2025,48584916.19607843,48.58491619607842
17716,Bhopal,2015,66878742.72156864,66.87874272156864
17716,Bhopal,2020,73498473.20784315,73.49847320784315
17716,Bhopal,2025,78631226.06274512,78.63122606274513
70171,Burhanpur,2015,15556399.776470589,15.556399776470588
70171,Burhanpur,2020,16784323.752941176,16.784323752941177
70171,Burhanpur,2025,18457545.30196079,18.45754530196079
17718,Chhatarpur,2015,40258642.35294119,40.25864235294119
17718,Chhatarpur,2020,50449107.6,50.449107600000005
17718,Chhatarpur,2025,56912903.64313725,56.912903643137255
17719,Chhindwara,2015,51930357.25098039,51.93035725098039
17719,Chhindwara,2020,61135036.54509803,61.13503654509803
17719,Chhindwara,2025,69053500.96862747,69.05350096862747
17720,Damoh,2015,24841511.682352945,24.841511682352944
17720,Damoh,2020,28551864.30980392,28.55186430980392
17720,Damoh,2025,31647880.341176476,31.64788034117647
17721,Datia,2015,17217787.819607843,17.217787819607842
17721,Datia,2020,19720424.141176462,19.720424141176466
17721,Datia,2025,21381576.145098034,21.381576145098038
17722,Dewas,2015,50304163.65490195,50.30416365490195
17722,Dewas,2020,55754679.09019609,55.754679090196085
17722,Dewas,2025,61658238.58431373,61.65823858431373
17723,Dhar,2015,70001118.25490196,70.00111825490195
17723,Dhar,2020,85822450.98039214,85.82245098039215
17723,Dhar,2025,98461185.34509803,98.46118534509804
70172,Dindori,2015,14623631.125490194,14.623631125490194
70172,Dindori,2020,19865814.286274508,19.865814286274507
70172,Dindori,2025,23091911.07843137,23.091911078431373
17725,East Nimar,2015,35710813.29411765,35.71081329411765
17725,East Nimar,2020,38958574.45490196,38.95857445490197
17725,East Nimar,2025,43329127.94117647,43.32912794117647
17726,Guna,2015,27683749.811764702,27.683749811764702
17726,Guna,2020,32466899.51372548,32.46689951372548
17726,Guna,2025,36397694.61176472,36.39769461176471
17727,Gwalior,2015,44278979.16078432,44.27897916078432
17727,Gwalior,2020,53731456.31372549,53.731456313725495
17727,Gwalior,2025,58340554.71372549,58.340554713725496
70173,Harda,2015,19558324.14509804,19.55832414509804
70173,Harda,2020,20941133.01176471,20.94113301176471
70173,Harda,2025,23305495.06274509,23.30549506274509
17728,Hoshangabad,2015,38206660.776470594,38.20666077647059
17728,Hoshangabad,2020,41200790.46274509,41.20079046274509
17728,Hoshangabad,2025,45797180.3490196,45.79718034901959
17729,Indore,2015,96693910.36862744,96.69391036862744
17729,Indore,2020,105385685.5254902,105.3856855254902
17729,Indore,2025,112424645.85098036,112.42464585098035
17730,Jabalpur,2015,56262125.08627451,56.26212508627451
17730,Jabalpur,2020,61760616.06666667,61.76061606666667
17730,Jabalpur,2025,66973115.729411766,66.97311572941176
17731,Jhabua,2015,38325181.898039214,38.32518189803921
17731,Jhabua,2020,67969180.12549019,67.96918012549018
17731,Jhabua,2025,86968601.11372547,86.96860111372547
70174,Katni,2015,42905356.44705883,42.90535644705883
70174,Katni,2020,48712130.39999999,48.71213039999999
70174,Katni,2025,53983729.384313725,53.983729384313726
17732,Mandla,2015,26161092.584313728,26.161092584313728
17732,Mandla,2020,32160738.364705883,32.160738364705885
17732,Mandla,2025,36604296.219607845,36.604296219607846
17733,Mandsaur,2015,47466222.066666655,47.46622206666665
17733,Mandsaur,2020,52001982.50588234,52.00198250588234
17733,Mandsaur,2025,57825824.6745098,57.8258246745098
17734,Morena,2015,36367198.22745098,36.36719822745098
17734,Morena,2020,47480094.89803922,47.48009489803922
17734,Morena,2025,53647282.729411766,53.64728272941176
17735,Narsinghpur,2015,31022705.6,31.0227056
17735,Narsinghpur,2020,34689637.262745105,34.6896372627451
17735,Narsinghpur,2025,39314410.38431373,39.31441038431373
70175,Neemuch,2015,29049432.8627451,29.0494328627451
70175,Neemuch,2020,32432880.94901961,32.43288094901961
70175,Neemuch,2025,36132285.46666668,36.13228546666667
17736,Panna,2015,24665455.047058824,24.665455047058824
17736,Panna,2020,28233928.266666666,28.233928266666663
17736,Panna,2025,31504630.07843137,31.504630078431376
17739,Raisen,2015,37752924.3372549,37.752924337254896
17739,Raisen,2020,42054618.8117647,42.05461881176471
17739,Raisen,2025,46263492.95294118,46.26349295294118
17741,Rajgarh,2015,37431089.23921569,37.43108923921569
17741,Rajgarh,2020,44354233.807843134,44.35423380784314
17741,Rajgarh,2025,49856418.90980392,49.85641890980392
17742,Ratlam,2015,43980139.84705883,43.98013984705883
17742,Ratlam,2020,54333341.72156862,54.33334172156862
17742,Ratlam,2025,62287808.39215685,62.287808392156855
17743,Rewa,2015,58778966.90588235,58.77896690588235
17743,Rewa,2020,71679212.62352942,71.67921262352942
17743,Rewa,2025,83904080.01568627,83.90408001568628
17744,Sagar,2015,50167328.9137255,50.16732891372551
17744,Sagar,2020,58522683.77254902,58.522683772549016
17744,Sagar,2025,64830418.86666666,64.83041886666666
17745,Satna,2015,60257629.91764706,60.25762991764706
17745,Satna,2020,69498548.70980394,69.49854870980394
17745,Satna,2025,79749334.47843137,79.74933447843138
17746,Sehore,2015,44263373.51372549,44.26337351372549
17746,Sehore,2020,51273420.90196079,51.27342090196079
17746,Sehore,2025,57951859.92549019,57.95185992549019
17747,Seoni,2015,44158971.23921569,44.15897123921569
17747,Seoni,2020,47013227.30980392,47.01322730980392
17747,Seoni,2025,50122554.01568627,50.12255401568628
17748,Shahdol,2015,47324593.04313725,47.324593043137256
17748,Shahdol,2020,65039258.298039205,65.0392582980392
17748,Shahdol,2025,77992738.67058823,77.99273867058822
17749,Shajapur,2015,43488382.58431373,43.488382584313726
17749,Shajapur,2020,49504789.55686274,49.50478955686274
17749,Shajapur,2025,54249617.84705881,54.24961784705881
70176,Sheopur,2015,15588204.5372549,15.5882045372549
70176,Sheopur,2020,18382081.717647057,18.382081717647058
70176,Sheopur,2025,20236976.15686274,20.236976156862735
17750,Shivpuri,2015,41054916.61960784,41.05491661960784
17750,Shivpuri,2020,50058725.02352941,50.05872502352941
17750,Shivpuri,2025,57334552.56078431,57.33455256078431
17751,Sidhi,2015,82402887.57254902,82.40288757254902
17751,Sidhi,2020,128515514.2039216,128.51551420392158
17751,Sidhi,2025,159612404.8745098,159.61240487450982
17753,Tikamgarh,2015,34578689.91764706,34.578689917647054
17753,Tikamgarh,2020,41237994.17254904,41.23799417254904
17753,Tikamgarh,2025,47376321.89411766,47.37632189411766
17754,Ujjain,2015,67437204.92156863,67.43720492156864
17754,Ujjain,2020,70584204.76078431,70.58420476078432
17754,Ujjain,2025,74279036.52549021,74.27903652549021
70177,Umaria,2015,13936889.521568628,13.936889521568627
70177,Umaria,2020,17378822.603921566,17.378822603921567
70177,Umaria,2025,20132236.82745098,20.132236827450978
17755,Vidisha,2015,36119397.725490205,36.1193977254902
17755,Vidisha,2020,40824874.88627452,40.82487488627452
17755,Vidisha,2025,45220146.97254901,45.22014697254902
17756,West Nimar,2015,50024193.62352943,50.02419362352943
17756,West Nimar,2020,57599528.68627451,57.59952868627451
17756,West Nimar,2025,64375056.027450986,64.37505602745098
