district_code,district,year,total_population
70168,Anuppur,2015,666191
70168,Anuppur,2020,693794
70168,Anuppur,2025,720180
70169,Ashoknagar,2015,966959
70169,Ashoknagar,2020,1020983
70169,Ashoknagar,2025,1066671
17712,Balaghat,2015,1793698
17712,Balaghat,2020,1889725
17712,Balaghat,2025,1974241
70170,Barwani,2015,1598651
70170,Barwani,2020,1716868
70170,Barwani,2025,1796998
17714,Betul,2015,1712401
17714,Betul,2020,1803442
17714,Betul,2025,1878852
17715,Bhind,2015,1830109
17715,Bhind,2020,1923222
17715,Bhind,2025,2003692
17716,Bhopal,2015,2690902
17716,Bhopal,2020,3019463
17716,Bhopal,2025,3312133
70171,Burhanpur,2015,832640
70171,Burhanpur,2020,879077
70171,Burhanpur,2025,915873
17718,Chhatarpur,2015,1922737
17718,Chhatarpur,2020,2035851
17718,Chhatarpur,2025,2126305
17719,Chhindwara,2015,2272344
17719,Chhindwara,2020,2393624
17719,Chhindwara,2025,2496659
17720,Damoh,2015,1367024
17720,Damoh,2020,1443061
17720,Damoh,2025,1504277
17721,Datia,2015,844694
17721,Datia,2020,894964
17721,Datia,2025,933841
17722,Dewas,2015,1686943
17722,Dewas,2020,1782338
17722,Dewas,2025,1859564
17723,Dhar,2015,2465196
17723,Dhar,2020,2597000
17723,Dhar,2025,2706600
70172,Dindori,2015,915402
70172,Dindori,2020,969297
70172,Dindori,2025,1011632
17725,East Nimar,2015,1394198
17725,East Nimar,2020,1470018
17725,East Nimar,2025,1533547
17726,Guna,2015,1317078
17726,Guna,2020,1393524
17726,Guna,2025,1454233
17727,Gwalior,2015,2259890
17727,Gwalior,2020,2395469
17727,Gwalior,2025,2499614
70173,Harda,2015,649161
70173,Harda,2020,681948
70173,Harda,2025,710034
17728,Hoshangabad,2015,1368609
17728,Hoshangabad,2020,1437545
17728,Hoshangabad,2025,1499310
17729,Indore,2015,3732522
17729,Indore,2020,4187132
17729,Indore,2025,4516985
17730,Jabalpur,2015,2334656
17730,Jabalpur,2020,2479515
17730,Jabalpur,2025,2625509
17731,Jhabua,2015,1950214
17731,Jhabua,2020,2086486
17731,Jhabua,2025,2180823
70174,Katni,2015,1804197
70174,Katni,2020,1904483
70174,Katni,2025,1989999
17732,Mandla,2015,981325
17732,Mandla,2020,1034665
17732,Mandla,2025,1079890
17733,Mandsaur,2015,1389199
17733,Mandsaur,2020,1464188
17733,Mandsaur,2025,1527351
17734,Morena,2015,2165019
17734,Morena,2020,2287155
17734,Morena,2025,2385145
17735,Narsinghpur,2015,1225024
17735,Narsinghpur,2020,1288821
17735,Narsinghpur,2025,1344893
70175,Neemuch,2015,825544
70175,Neemuch,2020,867186
70175,Neemuch,2025,903615
17736,Panna,2015,1139707
17736,Panna,2020,1202335
17736,Panna,2025,1251692
17739,Raisen,2015,1447506
17739,Raisen,2020,1529478
17739,Raisen,2025,1597814
17741,Rajgarh,2015,1627256
17741,Rajgarh,2020,1722286
17741,Rajgarh,2025,1795246
17742,Ratlam,2015,1548359
17742,Ratlam,2020,1629848
17742,Ratlam,2025,1697357
17743,Rewa,2015,2598719
17743,Rewa,2020,2737886
17743,Rewa,2025,2852273
17744,Sagar,2015,2621631
17744,Sagar,2020,2760816
17744,Sagar,2025,2879027
17745,Satna,2015,2448435
17745,Satna,2020,2574453
17745,Satna,2025,2679517
17746,Sehore,2015,1433478
17746,Sehore,2020,1517978
17746,Sehore,2025,1586003
17747,Seoni,2015,1497768
17747,Seoni,2020,1576091
17747,Seoni,2025,1639541
17748,Shahdol,2015,1435137
17748,Shahdol,2020,1521450
17748,Shahdol,2025,1589838
17749,Shajapur,2015,1676372
17749,Shajapur,2020,1766052
17749,Shajapur,2025,1841337
70176,Sheopur,2015,805051
70176,Sheopur,2020,848803
70176,Sheopur,2025,885256
17750,Shivpuri,2015,1895805
17750,Shivpuri,2020,2005707
17750,Shivpuri,2025,2093819
17751,Sidhi,2015,2566432
17751,Sidhi,2020,2728342
17751,Sidhi,2025,2849847
17753,Tikamgarh,2015,1567498
17753,Tikamgarh,2020,1657946
17753,Tikamgarh,2025,1731557
17754,Ujjain,2015,2155477
17754,Ujjain,2020,2267445
17754,Ujjain,2025,2362050
70177,Umaria,2015,574762
70177,Umaria,2020,609476
70177,Umaria,2025,637350
17755,Vidisha,2015,1589400
17755,Vidisha,2020,1678606
17755,Vidisha,2025,1749894
17756,West Nimar,2015,2010711
17756,West Nimar,2020,2114802
17756,West Nimar,2025,2203341
