feature,feature_importance
year,0.024239957877797483
population_density,0.00483433326124837
ndvi,0.020745414029142192
ndvi_builtup_interaction,0.0021945732820062456
built_up_growth,0.0006996773457545952
ndvi_anomally,0.04753301300714259
lst_anomally,0.008688161382934035
night_lst,0.024176076940677874
total_population,0.002448643628213269
built_up_pct,0.0021229829322147783
month_sin,0.6593598892255064
month_cos,0.14181286668625243
lst_lag1,0.007773604659931611
lst_lag2,0.007433537026401245
lst_lag3,0.007240323486515286
lst_3month_avg,0.013402764230440378
lst_12month_avg,0.025294180997821273
